源数据类型,目标数据类型,转换函数名称,测试程序,数据范围,转换特点,测试状态
BOOL,BYTE,BOOL_TO_BYTE,TypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,WORD,BOOL_TO_WORD,TypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,DWORD,BOOL_TO_DWORD,TypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,INT,BOOL_TO_INT,TypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,DINT,BOOL_TO_DINT,TypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,REAL,BOOL_TO_REAL,TypeConversionTest,TRUE/FALSE → 1.0/0.0,简单扩展,通过
BYTE,BOOL,BYTE_TO_BOOL,TypeConversionTest,非零→TRUE/零→FALSE,数值判断,通过
BYTE,WORD,BYTE_TO_WORD,TypeConversionTest,8位→16位,无符号扩展,通过
BYTE,DWORD,BYTE_TO_DWORD,TypeConversionTest,8位→32位,无符号扩展,通过
BYTE,INT,BYTE_TO_INT,TypeConversionTest,8位→16位,无符号扩展,通过
BYTE,DINT,BYTE_TO_DINT,TypeConversionTest,8位→32位,无符号扩展,通过
BYTE,REAL,BYTE_TO_REAL,TypeConversionTest,整数→浮点,精度保持,通过
INT,BOOL,INT_TO_BOOL,TypeConversionTest,非零→TRUE/零→FALSE,数值判断,通过
INT,BYTE,INT_TO_BYTE,TypeConversionTest,16位→8位,可能截断,通过
INT,WORD,INT_TO_WORD,TypeConversionTest,16位→16位,位模式保持,通过
INT,DWORD,INT_TO_DWORD,TypeConversionTest,16位→32位,符号扩展,通过
INT,DINT,INT_TO_DINT,TypeConversionTest,16位→32位,符号扩展,通过
INT,REAL,INT_TO_REAL,TypeConversionTest,整数→浮点,精度保持,通过
INT,STRING,INT_TO_STRING,TypeConversionTest,数值→文本,文本表示,通过
DINT,BOOL,DINT_TO_BOOL,TypeConversionTest,非零→TRUE/零→FALSE,数值判断,通过
DINT,BYTE,DINT_TO_BYTE,TypeConversionTest,32位→8位,严重截断,通过
DINT,WORD,DINT_TO_WORD,TypeConversionTest,32位→16位,高位截断,通过
DINT,DWORD,DINT_TO_DWORD,TypeConversionTest,32位→32位,位模式保持,通过
DINT,INT,DINT_TO_INT,TypeConversionTest,32位→16位,可能溢出,通过
DINT,REAL,DINT_TO_REAL,TypeConversionTest,整数→浮点,精度可能损失,通过
DINT,STRING,DINT_TO_STRING,TypeConversionTest,数值→文本,文本表示,通过
DINT,TIME,DINT_TO_TIME,TypeConversionTest,毫秒数→时间,时间转换,通过
REAL,BOOL,REAL_TO_BOOL,TypeConversionTest,非零→TRUE/零→FALSE,数值判断,通过
REAL,BYTE,REAL_TO_BYTE,TypeConversionTest,浮点→8位整数,截断转换,通过
REAL,WORD,REAL_TO_WORD,TypeConversionTest,浮点→16位整数,截断转换,通过
REAL,DWORD,REAL_TO_DWORD,TypeConversionTest,浮点→32位整数,截断转换,通过
REAL,INT,REAL_TO_INT,TypeConversionTest,浮点→16位整数,截断转换,通过
